Player,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Luka Doncic,40.4,8.9,7.7,0.7,2.3,0.495,0.764,6.0,4.0,7,38.3,7.9,7.3,19.2,2.0
Bam Adebayo,35.2,8.6,2.8,1.0,1.8,0.421,0.781,3.2,2.2,5,37.4,12.8,6.4,5.1,2.0
Devin Booker,32.4,3.9,5.1,0.4,0.3,0.463,0.887,2.0,3.3,7,34.9,9.0,8.7,18.2,2.9
Kawhi Leonard,31.0,5.8,3.2,0.0,1.8,0.568,0.846,2.7,1.8,6,30.4,7.3,7.8,14.8,1.3
Tyrese Maxey,31.0,2.0,5.0,0.0,4.0,0.546,1.0,3.0,5.0,1,37.9,4.0,9.0,1.0,3.0
Shai Gilgeous-Alexander,29.5,5.2,7.8,1.0,2.2,0.554,0.875,1.8,2.0,6,34.6,7.0,8.5,14.3,2.2
Anthony Edwards,29.0,4.2,4.2,1.0,1.2,0.449,0.862,3.0,3.0,5,34.4,10.0,5.0,6.3,2.8
Victor Wembanyama,28.8,10.7,3.0,2.7,1.5,0.532,0.829,3.5,2.3,6,31.5,5.7,6.3,5.5,1.7
Giannis Antetokounmpo,27.8,8.8,5.5,0.3,1.5,0.539,0.614,0.0,2.5,4,27.8,6.8,10.5,13.8,1.8
Brice Sensabaugh,26.8,3.7,2.3,0.5,1.2,0.541,0.81,4.0,3.0,6,27.7,2.8,6.0,3.2,1.8
Jaylen Brown,26.3,5.7,6.0,0.3,1.0,0.46,0.939,1.0,3.6,7,33.8,8.7,7.3,16.2,2.7
Jalen Brunson,26.0,4.2,8.2,0.2,1.5,0.443,0.837,2.0,3.5,6,37.7,6.0,7.0,16.6,1.5
Nickeil Alexander-Walker,25.0,3.0,3.3,0.4,2.0,0.537,0.939,4.0,2.6,7,34.0,4.4,4.3,6.8,2.4
Paolo Banchero,24.8,8.6,5.0,0.5,0.3,0.488,0.79,1.5,3.0,8,34.8,7.5,6.4,15.7,2.0
Dejounte Murray,24.5,5.5,5.8,0.0,1.5,0.661,0.688,2.3,3.5,4,28.9,2.8,7.5,6.3,2.5
Michael Porter Jr.,24.5,7.5,1.0,0.5,1.5,0.436,1.0,2.0,2.5,2,30.8,5.5,6.5,0.8,3.0
Karl-Anthony Towns,24.3,12.2,3.5,0.7,1.0,0.542,0.842,1.7,2.5,6,31.8,5.3,7.0,9.8,3.3
Jalen Duren,23.8,9.4,1.1,1.1,0.8,0.695,0.746,0.0,1.1,9,26.3,5.6,9.1,5.5,2.7
Jalen Green,23.7,4.6,3.6,0.1,1.3,0.438,0.783,3.1,2.7,7,32.3,2.6,5.9,11.8,1.0
Austin Reaves,23.6,4.9,6.1,0.6,1.3,0.491,0.791,2.4,1.7,7,40.0,4.9,5.7,32.3,2.0
Donovan Mitchell,23.5,4.3,6.3,0.5,1.5,0.439,0.872,2.2,1.0,6,33.8,5.7,5.7,16.7,1.5
James Harden,23.3,5.4,7.4,0.3,0.9,0.505,0.796,3.4,3.3,7,34.4,5.6,3.7,12.3,1.9
RJ Barrett,23.1,5.7,2.3,0.6,0.7,0.563,0.774,1.7,2.0,7,32.7,3.4,7.3,10.4,2.7
Matas Buzelis,23.1,7.1,1.6,2.0,1.3,0.449,0.807,3.3,1.9,7,34.4,3.6,4.9,6.3,1.1
Nikola Jokic,23.1,13.0,12.0,1.3,2.1,0.57,0.811,1.4,4.6,7,36.2,4.3,7.3,22.6,2.9
Desmond Bane,23.0,3.9,4.5,0.1,1.5,0.529,0.976,2.0,1.5,8,33.7,5.0,6.0,17.3,3.6
Jalen Johnson,23.0,9.6,8.7,0.3,1.3,0.508,0.808,2.3,3.3,7,36.2,3.0,6.6,24.3,1.7
Bennedict Mathurin,22.8,5.8,1.8,0.3,1.0,0.462,0.906,0.8,2.2,6,32.4,8.0,6.2,5.3,2.5
Jamal Murray,22.4,5.3,6.4,0.1,0.7,0.436,0.898,1.6,1.6,7,35.8,6.3,5.7,28.8,2.6
Deni Avdija,22.4,6.6,6.7,1.0,0.7,0.421,0.828,1.1,4.1,7,33.0,7.6,5.7,16.8,2.1
Evan Mobley,22.4,10.9,2.4,2.1,0.3,0.611,0.441,0.6,1.3,7,31.4,2.1,9.3,3.5,2.4
Quentin Grimes,22.3,4.4,3.4,0.3,1.0,0.463,0.808,1.5,2.0,8,34.6,5.3,6.3,18.0,1.8
Kevin Durant,22.3,5.3,4.0,1.0,1.0,0.598,0.808,1.9,2.6,7,33.9,3.0,6.9,13.0,1.3
DeMar DeRozan,22.3,2.5,5.2,0.5,1.2,0.595,0.892,0.2,2.8,6,30.0,5.5,8.2,8.5,2.2
LaMelo Ball,22.2,5.5,5.8,0.3,1.5,0.467,0.857,3.8,2.8,6,26.9,2.0,4.3,12.3,3.3
Trey Murphy III,22.2,6.2,4.7,0.3,1.7,0.478,0.857,3.8,2.2,6,34.4,4.0,3.3,12.0,2.0
Pascal Siakam,22.0,6.0,5.0,0.0,2.0,0.45,0.444,0.0,2.0,1,32.3,4.0,9.0,2.5,2.0
Ty Jerome,21.4,3.0,6.8,0.2,0.6,0.465,0.846,3.2,2.0,5,24.7,2.2,4.8,14.5,2.0
Brandon Ingram,21.3,4.9,3.3,0.1,0.9,0.495,0.784,2.0,2.9,7,35.3,4.1,5.6,6.0,2.3
Darius Garland,21.3,2.0,7.0,0.0,1.3,0.461,0.786,3.8,2.8,6,28.5,1.8,4.0,15.8,1.3
De'Aaron Fox,20.7,4.1,6.7,0.4,0.9,0.534,0.742,1.7,2.0,7,31.7,3.3,6.1,24.1,2.9
Amen Thompson,20.6,8.1,5.3,0.3,0.9,0.552,0.814,0.4,2.0,7,37.4,5.0,7.1,11.3,2.7
LeBron James,20.4,7.6,5.8,0.4,1.4,0.646,0.667,0.8,3.0,5,35.8,2.8,7.6,12.1,2.4
Jayson Tatum,20.3,8.0,2.8,0.0,1.0,0.393,0.875,2.8,2.0,6,30.0,3.5,4.2,13.5,1.5
Daniel Gafford,20.3,10.8,1.3,0.8,0.3,0.829,0.684,0.0,1.3,4,24.6,3.3,8.5,4.5,2.0
Maxime Raynaud,20.1,8.3,2.0,1.4,0.1,0.58,0.909,0.7,2.0,7,33.2,2.9,7.6,7.0,2.3
Kelly Oubre Jr.,20.0,6.3,2.0,0.3,1.3,0.467,0.737,1.3,2.7,3,29.1,4.7,5.7,1.1,1.3
OG Anunoby,19.7,5.6,2.1,0.3,1.1,0.571,0.867,2.3,2.1,7,33.4,3.7,4.6,9.8,2.6
Zion Williamson,19.3,4.3,2.0,0.5,0.8,0.724,0.696,0.0,1.5,6,29.8,5.3,7.0,6.0,1.3
Julius Randle,19.1,5.8,3.5,0.1,1.5,0.495,0.813,1.0,3.4,8,29.9,4.9,5.6,13.9,2.8
Cooper Flagg,19.1,7.0,6.6,1.3,0.9,0.449,0.774,0.6,3.3,7,31.5,3.4,7.0,18.8,1.4
Tyler Herro,19.0,7.0,4.5,0.3,0.5,0.417,0.938,2.8,2.8,4,31.3,3.8,3.5,8.1,1.8
Norman Powell,19.0,3.0,3.0,0.7,0.7,0.467,0.75,1.0,0.7,3,31.4,4.0,6.0,6.0,3.3
Kon Knueppel,18.8,4.3,3.0,0.2,0.7,0.473,0.92,3.3,0.5,6,30.0,3.8,2.5,5.0,2.7
Stephon Castle,18.7,6.3,8.5,0.2,0.3,0.455,0.853,2.2,2.5,6,30.4,4.8,3.7,14.9,3.7
VJ Edgecombe,18.7,6.0,5.0,1.0,1.2,0.43,1.0,0.8,1.8,6,32.5,3.5,6.3,18.3,2.8
Jabari Smith Jr.,18.6,6.1,2.3,0.3,0.9,0.5,0.833,2.3,0.9,7,35.1,2.9,4.4,8.0,2.6
Aaron Nesmith,18.5,2.2,1.5,0.3,0.5,0.526,1.0,2.7,1.0,6,28.9,2.5,4.0,5.3,2.5
Cade Cunningham,18.5,3.7,10.3,0.2,1.5,0.556,0.85,2.3,3.0,6,27.0,2.8,4.3,20.6,2.5
CJ McCollum,17.7,3.3,3.9,0.7,1.0,0.451,0.76,1.9,2.6,7,29.0,2.7,4.7,15.6,2.0
Ace Bailey,17.6,4.4,2.4,0.6,1.4,0.472,0.0,4.0,2.4,5,26.3,0.0,2.8,4.6,3.6
Saddiq Bey,17.5,6.0,3.3,0.2,1.3,0.419,0.773,1.7,0.8,6,32.1,2.8,4.8,10.0,1.0
Bobby Portis Jr.,17.4,7.1,1.9,0.3,1.1,0.48,0.636,2.7,1.0,7,25.9,1.0,4.1,10.5,1.4
Jerami Grant,17.1,3.1,1.7,0.6,1.1,0.526,0.81,3.0,2.6,7,31.4,2.4,2.9,4.6,2.9
Coby White,17.0,2.6,3.0,0.6,0.2,0.452,0.941,2.6,1.8,5,21.8,3.2,3.0,3.6,2.2
Collin Sexton,17.0,2.7,3.3,0.0,0.3,0.533,0.786,2.7,0.7,3,19.6,3.7,2.7,1.0,2.7
Keyonte George,17.0,1.3,3.7,0.0,0.3,0.381,0.938,1.3,0.7,3,24.5,5.0,4.0,7.0,0.7
Gui Santos,16.9,6.0,4.3,0.1,1.0,0.455,0.826,2.0,2.1,8,32.4,2.4,4.3,19.4,3.3
Cody Williams,16.9,5.4,4.4,0.4,0.9,0.511,0.778,1.0,2.1,7,35.0,3.0,5.4,16.5,1.7
Ryan Rollins,16.8,3.9,6.3,0.6,1.1,0.522,0.944,2.9,3.1,8,32.6,2.1,3.0,22.9,2.6
Brandon Miller,16.8,5.5,4.2,0.2,1.2,0.386,0.938,3.0,2.3,6,31.5,2.5,2.7,9.2,2.8
Derrick White,16.8,5.5,4.3,0.8,1.2,0.42,0.864,2.3,1.7,6,34.6,3.2,3.3,14.3,2.3
Scoot Henderson,16.7,2.7,3.3,0.6,0.9,0.506,0.773,2.6,2.7,7,24.3,2.4,3.3,6.9,3.1
Josh Giddey,16.7,9.3,12.4,0.4,1.4,0.441,0.7,2.9,3.7,7,36.2,1.0,3.6,25.5,2.3
Miles Bridges,16.7,5.5,2.2,0.2,0.7,0.475,0.813,1.8,1.8,6,30.3,2.2,4.5,7.0,1.7
Tre Jones,16.6,3.0,4.4,0.1,1.4,0.563,0.813,0.7,1.7,7,30.1,1.9,6.3,8.4,1.3
GG Jackson II,16.6,4.8,2.0,0.8,0.2,0.453,0.556,1.0,2.4,5,26.0,2.0,5.8,6.3,1.6
Chet Holmgren,16.5,8.0,1.0,0.8,1.0,0.558,0.889,0.5,1.0,4,29.0,4.0,5.5,0.3,1.8
Donovan Clingan,16.4,12.6,3.0,2.6,1.0,0.533,0.794,0.9,1.3,7,27.6,3.9,5.0,12.5,2.7
Alperen Sengun,16.4,6.6,6.0,0.6,0.6,0.574,0.579,0.2,3.6,5,30.1,2.2,6.8,10.1,2.8
Kevin Porter Jr.,16.3,5.7,7.3,1.0,1.7,0.5,1.0,0.3,2.3,3,30.1,4.0,5.7,14.0,3.7
De'Anthony Melton,16.0,3.8,2.2,0.6,1.2,0.448,0.923,1.6,2.2,5,24.1,2.4,4.4,7.3,1.2
Trae Young,16.0,3.3,6.3,0.3,0.3,0.636,0.778,2.0,2.5,4,21.2,3.5,3.3,12.7,3.3
Day'Ron Sharpe,16.0,6.0,3.0,0.5,2.0,0.667,1.0,1.0,2.5,2,19.4,1.0,6.0,2.3,2.5
Scottie Barnes,15.9,6.6,4.9,1.3,1.4,0.452,0.909,1.0,2.1,7,34.1,2.9,5.0,22.0,2.6
Will Riley,15.9,3.9,1.7,0.1,0.4,0.463,0.759,2.1,1.7,7,34.7,3.1,3.1,3.7,2.0
Brandin Podziemski,15.6,5.9,4.5,0.3,1.4,0.396,0.714,2.4,1.9,8,32.6,3.8,2.4,19.3,1.4
Justin Edwards,15.6,3.1,2.9,0.4,2.1,0.581,0.727,2.1,0.9,7,25.4,1.1,4.0,14.0,1.6
Aaron Gordon,15.6,5.8,2.2,0.8,0.4,0.49,0.75,2.0,1.4,5,26.7,3.6,3.0,7.7,1.2
Josh Minott,15.6,2.8,1.0,1.2,1.4,0.5,0.889,3.2,2.0,5,22.0,3.2,1.4,3.2,1.4
Payton Pritchard,15.5,3.5,5.2,0.2,0.8,0.415,1.0,2.5,1.8,6,33.9,1.7,3.2,16.3,2.0
Bilal Coulibaly,15.4,5.4,3.6,0.6,0.8,0.383,0.875,2.0,1.4,5,30.5,4.2,2.6,11.7,3.4
Kristaps Porzingis,15.3,4.3,2.5,2.2,1.0,0.4,0.8,1.3,1.2,6,20.7,4.7,3.3,10.3,2.2
Isaiah Collier,15.3,3.3,5.8,0.5,1.5,0.411,0.765,0.5,2.5,4,25.4,3.3,5.3,12.2,1.8
Jakob Poeltl,15.2,9.7,2.3,1.2,0.7,0.719,0.643,0.0,0.8,6,28.9,1.5,6.8,5.5,3.8
Ajay Mitchell,15.2,4.0,3.4,0.0,0.8,0.483,0.933,0.8,1.2,5,27.5,2.8,5.0,11.0,1.2
Tim Hardaway Jr.,15.1,2.6,1.9,0.0,0.6,0.432,0.692,3.9,1.1,7,25.1,1.3,1.1,8.5,2.1
Christian Braun,15.0,5.6,2.9,0.1,1.4,0.562,0.813,1.4,0.7,7,33.7,1.9,4.4,14.0,2.9
Naji Marshall,15.0,4.4,4.1,0.0,0.7,0.494,0.769,1.0,2.3,7,27.8,2.9,4.6,10.6,1.6
Ayo Dosunmu,15.0,5.7,3.7,0.0,0.4,0.533,0.818,2.0,1.7,7,29.0,1.3,3.9,17.0,2.7
Josh Hart,15.0,9.5,3.8,0.0,1.0,0.706,0.833,1.8,1.8,4,28.9,1.3,4.3,10.5,3.3
Andrew Nembhard,15.0,2.3,6.0,0.0,1.7,0.438,0.813,1.3,1.7,3,25.7,4.3,3.3,6.5,1.0
Jalen Suggs,14.9,3.9,4.5,0.5,1.8,0.45,0.8,2.1,2.6,8,29.5,1.5,3.5,16.3,2.0
P.J. Washington Jr.,14.8,8.3,1.5,0.7,1.3,0.446,0.75,1.8,1.2,6,30.4,2.0,3.7,2.8,1.7
Pelle Larsson,14.7,3.3,3.3,0.2,0.8,0.472,0.889,1.0,2.0,6,31.9,5.3,3.2,16.3,2.5
Cameron Johnson,14.3,3.9,2.1,0.4,0.9,0.54,0.79,2.4,0.7,7,29.8,2.1,2.4,5.0,2.1
Precious Achiuwa,14.3,8.9,1.3,1.3,0.4,0.56,0.733,0.7,1.0,7,31.7,1.6,5.3,3.0,1.9
John Collins,14.3,6.8,1.8,0.5,1.0,0.5,0.75,1.0,1.5,4,24.4,3.8,3.8,6.3,2.8
Daeqwon Plowden,14.0,3.6,1.1,0.0,1.3,0.43,0.75,2.6,1.0,7,31.0,1.7,2.3,4.5,3.3
Javon Small,13.7,4.0,4.1,0.3,1.0,0.525,0.9,2.0,1.4,7,24.4,2.6,2.6,15.3,2.0
Kyle Filipowski,13.7,8.3,4.3,0.8,1.2,0.491,0.8,1.3,2.5,6,26.6,3.3,3.2,15.9,1.8
Olivier-Maxence Prosper,13.6,4.0,1.0,0.5,1.1,0.533,0.609,1.9,1.3,8,25.3,1.8,3.1,7.0,2.6
Immanuel Quickley,13.6,3.3,5.7,0.0,2.0,0.379,0.933,2.1,0.9,7,32.8,2.0,2.6,33.0,1.6
Devin Carter,13.5,4.5,3.0,0.0,1.0,0.588,1.0,1.5,1.0,2,11.2,2.0,3.5,1.5,1.0
Cedric Coward,13.4,6.6,2.2,0.6,0.6,0.426,0.824,1.4,2.2,5,23.7,2.8,3.2,6.3,3.0
Russell Westbrook III,13.4,6.8,9.8,0.4,1.2,0.379,0.636,1.8,1.8,5,29.6,2.8,2.6,13.5,1.2
Gary Payton II,13.3,6.0,2.3,0.3,1.9,0.592,0.667,0.8,0.6,8,23.2,1.3,4.9,7.0,2.4
Jrue Holiday,13.3,4.0,6.1,0.3,0.7,0.429,0.714,2.3,1.7,7,29.3,0.7,2.9,18.2,1.3
Grayson Allen,13.3,2.0,3.7,0.0,0.3,0.455,0.79,1.7,0.7,3,25.7,5.0,1.7,9.0,3.0
Wendell Carter Jr.,13.1,7.0,2.6,0.7,1.0,0.569,0.741,0.9,1.1,7,29.6,2.9,3.9,12.0,2.4
Jarace Walker,13.1,6.7,3.0,0.3,1.0,0.44,0.722,1.9,2.0,7,32.5,1.9,2.9,5.5,1.4
Jaylen Wells,13.1,2.7,0.9,0.1,1.0,0.448,0.944,2.1,0.6,7,24.9,2.4,2.1,3.5,2.0
Taylor Hendricks,13.0,4.9,1.3,1.7,2.1,0.514,0.818,1.4,1.3,7,25.6,1.3,3.7,4.5,2.1
Devin Vassell,13.0,3.0,2.8,0.2,0.7,0.411,0.826,2.2,0.8,6,32.6,3.2,1.7,10.0,1.8
Tristan Vukcevic,12.8,4.3,1.0,0.7,0.2,0.551,0.714,2.2,2.2,6,16.6,1.7,2.3,3.3,2.0
Kyle Kuzma,12.7,2.9,3.0,0.4,1.1,0.485,0.8,1.9,1.9,7,26.2,1.7,2.7,10.5,2.4
Malik Monk,12.7,1.7,3.3,0.3,0.0,0.424,1.0,1.0,0.7,3,19.1,2.3,3.7,2.5,1.7
Bones Hyland,12.6,0.9,2.6,0.4,0.5,0.493,0.933,2.4,1.4,8,19.3,1.8,1.9,8.4,1.6
Tristan da Silva,12.5,5.0,2.4,0.6,1.4,0.446,0.938,1.4,1.0,8,30.8,1.9,3.3,7.2,2.5
Rayan Rupert,12.5,5.3,1.0,0.5,1.3,0.436,1.0,2.0,1.3,4,30.7,2.0,2.3,3.0,3.3
Reed Sheppard,12.4,3.3,2.9,0.9,1.4,0.381,0.833,2.6,3.0,7,28.7,0.7,2.0,7.3,3.1
Dyson Daniels,12.3,7.3,4.3,0.2,2.2,0.589,0.7,0.2,1.5,6,32.1,1.2,5.3,10.0,1.7
Nique Clifford,12.3,5.2,4.3,0.3,1.5,0.427,0.5,1.8,1.3,6,34.7,0.8,3.0,24.0,3.2
Klay Thompson,12.3,1.0,1.3,0.0,0.8,0.388,0.5,2.5,0.5,4,21.8,0.3,2.3,1.0,1.3
Naz Reid,12.2,4.5,1.8,1.2,0.5,0.509,0.8,0.8,1.5,6,25.0,2.0,3.8,6.5,2.7
Dylan Harper,12.2,4.2,5.2,0.2,0.0,0.531,0.0,1.8,1.2,5,24.3,0.0,3.4,23.5,2.6
Tobias Harris,12.1,5.3,2.9,0.9,0.4,0.52,0.923,0.9,1.0,8,26.1,1.5,4.0,17.0,2.1
Jordan Miller,12.0,3.4,3.0,0.1,0.8,0.507,0.688,0.3,1.0,8,27.1,2.8,4.3,14.0,0.8
Jared McCain,12.0,1.5,0.7,0.3,0.2,0.481,0.833,2.8,0.3,6,17.4,0.8,1.3,2.0,1.3
Ziaire Williams,12.0,2.8,1.2,0.0,1.3,0.512,0.895,1.8,1.0,6,22.8,2.8,1.8,4.5,2.7
Justin Champagnie,12.0,5.5,1.5,0.3,1.0,0.546,0.909,0.5,0.8,4,21.4,2.5,4.0,3.0,2.0
Tre Johnson,11.9,2.6,1.6,0.1,0.1,0.369,0.778,2.0,1.7,7,23.4,1.0,2.4,7.8,2.7
Isaiah Joe,11.8,3.3,1.5,0.3,0.2,0.481,0.889,2.2,0.7,6,24.3,1.3,2.0,1.3,1.5
Jeremiah Fears,11.7,2.5,3.2,0.2,0.8,0.436,0.778,1.5,1.7,6,20.1,1.2,3.0,8.2,1.3
Deandre Ayton,11.6,8.3,1.0,1.0,0.3,0.691,0.357,0.0,0.7,7,29.8,0.7,5.4,3.0,2.9
Jaime Jaquez Jr.,11.6,3.8,7.0,0.2,0.6,0.396,0.929,0.6,0.8,5,27.8,2.6,3.6,16.5,2.2
Ivica Zubac,11.6,7.2,1.8,0.8,0.4,0.472,0.8,0.0,0.8,5,23.7,1.6,5.0,5.5,1.6
Rudy Gobert,11.5,10.9,1.5,1.1,0.9,0.66,0.629,0.0,1.8,8,31.8,2.8,4.4,6.0,1.6
Derrick Jones Jr.,11.5,4.1,1.9,1.0,1.8,0.522,0.737,1.0,0.8,8,30.6,1.8,3.4,9.5,2.1
Keshad Johnson,11.5,3.0,0.5,1.0,2.5,0.5,0.25,2.0,1.0,2,19.5,0.5,2.5,0.5,1.5
Cam Spencer,11.4,1.9,4.6,0.3,0.6,0.51,1.0,2.0,0.7,7,22.1,2.0,1.7,14.0,1.3
Jay Huff,11.4,3.3,1.0,1.9,0.4,0.423,0.818,1.6,1.0,7,20.8,1.3,2.7,4.5,1.7
Elijah Harkless,11.4,2.4,3.9,0.3,1.0,0.359,0.786,1.7,2.0,7,26.4,3.1,1.6,18.2,1.7
Alex Sarr,11.4,4.4,0.8,2.2,0.8,0.39,0.667,1.4,1.6,5,20.8,0.8,3.2,3.0,2.2
Cameron Payne,11.3,2.6,3.3,0.6,1.6,0.413,0.8,2.0,0.8,8,20.6,1.5,1.9,4.0,1.1
Leonard Miller,11.3,6.1,1.0,0.4,0.6,0.524,0.875,0.9,0.4,7,25.7,1.0,3.9,1.0,1.9
Bub Carrington,11.3,3.6,4.3,0.1,0.3,0.582,0.75,1.3,2.0,7,27.5,0.9,3.3,17.2,2.1
Rob Dillingham,11.3,3.1,3.4,0.1,0.9,0.44,0.5,1.7,1.4,7,23.0,0.1,3.0,17.6,4.1
Khris Middleton,11.3,3.1,1.1,0.0,1.1,0.403,1.0,2.0,1.7,7,20.9,2.1,1.6,3.7,1.7
Collin Gillespie,11.3,4.7,4.9,0.1,1.3,0.388,1.0,2.7,1.0,7,30.8,1.1,1.0,19.0,1.4
Jaden Hardy,11.3,1.5,1.3,0.3,0.5,0.481,0.857,2.0,2.0,6,21.3,1.0,2.2,5.7,2.5
Quinten Post,11.3,3.8,2.3,0.8,0.3,0.487,0.75,1.5,1.5,4,23.2,0.8,3.0,3.8,1.8
Davion Mitchell,11.2,3.7,4.8,0.2,0.7,0.583,1.0,1.2,1.0,6,26.5,0.7,3.5,16.7,2.2
Obi Toppin,11.2,3.6,1.6,0.0,0.0,0.514,0.75,2.2,0.8,5,15.1,1.8,1.4,5.5,1.2
Duncan Robinson,11.1,2.9,2.8,0.2,0.3,0.53,0.75,2.3,0.4,9,24.3,1.0,1.6,8.0,2.6
Keldon Johnson,11.1,4.1,1.0,0.1,0.0,0.466,0.0,1.4,0.3,7,22.0,0.0,3.4,0.0,2.1
Onyeka Okongwu,11.1,7.4,3.1,1.6,1.0,0.433,0.647,1.3,0.7,7,29.8,1.6,2.9,19.0,3.1
Jordan Clarkson,11.0,1.4,1.4,0.1,0.3,0.547,1.0,1.1,0.7,7,17.5,1.6,3.0,6.0,1.7
Jaylin Williams,11.0,7.3,2.3,0.3,0.2,0.489,0.667,3.0,1.7,6,24.4,0.7,0.7,5.7,2.7
Leaky Black,11.0,4.0,2.5,0.0,1.0,0.5,1.0,2.0,0.5,2,29.6,1.0,2.0,3.0,3.5
Scotty Pippen Jr.,11.0,3.0,3.0,0.0,1.0,0.571,0.667,1.0,2.0,1,23.4,2.0,3.0,1.5,4.0
Ethan Thompson,11.0,2.0,2.0,0.0,1.0,0.364,1.0,2.0,2.0,1,38.2,1.0,2.0,1.0,5.0
Jaden McDaniels,10.8,3.1,2.3,0.5,1.8,0.46,0.75,0.8,1.9,8,29.4,1.5,3.5,9.0,3.6
Brandon Williams,10.8,2.5,3.3,1.0,0.7,0.487,0.897,0.5,1.5,6,19.2,4.3,2.5,8.8,1.3
Simone Fontecchio,10.8,3.3,1.3,0.0,0.3,0.484,0.857,1.8,0.8,4,20.1,1.5,2.0,4.0,2.5
Daniss Jenkins,10.6,3.1,5.9,0.6,1.5,0.391,0.828,0.9,1.9,8,25.8,3.0,2.5,19.2,1.1
Jalen Smith,10.6,5.6,0.8,0.4,0.2,0.386,0.8,1.4,1.0,5,25.6,2.4,2.0,3.3,3.0
Marcus Smart,10.5,2.2,2.7,0.2,2.2,0.37,0.857,1.8,0.7,6,32.2,2.0,1.5,10.0,2.5
Keon Ellis,10.4,3.1,1.3,0.9,1.0,0.511,0.8,2.1,1.0,7,27.0,1.7,1.1,3.3,2.4
Kel'el Ware,10.4,9.2,0.8,1.2,0.6,0.489,0.667,0.4,0.8,5,25.9,0.8,4.2,1.5,1.6
Harrison Barnes,10.4,3.6,1.8,0.0,0.4,0.546,0.889,1.6,0.8,5,22.3,1.6,2.0,6.0,1.2
Luka Garza,10.3,3.3,0.9,0.0,0.7,0.605,0.8,1.1,1.3,7,18.2,1.7,2.6,4.0,3.0
Blake Hinson,10.3,2.3,1.5,0.0,0.3,0.452,0.5,3.0,0.3,4,21.7,0.3,0.5,1.0,2.0
Isaiah Stewart,10.2,5.4,1.4,1.0,0.0,0.571,0.692,0.4,1.0,5,21.1,1.8,3.6,3.5,2.0
Toumani Camara,10.1,4.6,2.3,0.4,0.9,0.394,0.8,1.6,1.7,7,30.5,0.6,2.4,9.3,2.3
Danny Wolf,10.0,6.6,2.5,0.9,0.4,0.365,0.857,1.3,1.9,8,24.9,3.0,1.6,14.4,3.0
Nick Richards,10.0,7.6,0.7,0.9,0.0,0.519,0.571,0.3,1.4,7,23.3,1.7,3.7,2.8,2.1
Royce O'Neale,10.0,4.2,2.5,0.8,1.5,0.444,0.0,3.3,0.8,6,28.0,0.0,0.0,2.7,2.0
Sam Merrill,10.0,3.8,3.2,0.4,0.6,0.404,0.75,1.8,0.0,5,27.8,0.6,2.0,0.0,3.0
Ochai Agbaji,10.0,3.4,0.6,0.6,0.8,0.513,0.75,1.4,1.2,5,22.2,0.6,2.6,1.5,1.2
Jalen Wilson,10.0,3.3,1.0,0.0,0.3,0.483,0.714,1.8,1.0,4,20.9,1.3,1.8,4.0,3.0
Max Strus,10.0,6.7,2.0,0.0,0.7,0.45,1.0,2.7,1.0,3,23.3,1.3,0.3,6.0,3.7
Max Christie,9.6,2.0,1.1,0.3,0.9,0.426,1.0,2.1,2.0,7,27.5,0.9,1.1,1.7,1.4
Sandro Mamukelashvili,9.6,5.0,2.3,0.3,0.9,0.524,0.75,1.1,1.0,7,19.4,2.1,2.0,8.5,2.4
Ousmane Dieng,9.5,4.7,3.3,0.3,0.8,0.5,0.0,2.2,1.5,6,26.9,0.0,1.5,14.5,2.3
Dominick Barlow,9.4,5.0,1.6,1.0,0.6,0.554,0.611,0.3,1.4,8,27.6,1.4,3.6,7.0,2.8
Julian Champagnie,9.4,4.6,1.6,0.7,0.9,0.453,1.0,2.1,1.1,7,28.2,0.4,1.3,3.8,2.0
Herbert Jones,9.3,3.7,2.2,0.3,2.3,0.392,0.75,1.7,1.5,6,28.8,1.0,1.7,10.0,3.2
LJ Cryer,9.2,1.8,0.8,0.0,0.3,0.457,0.917,2.0,0.7,6,17.2,1.8,0.7,2.5,1.2
Isaiah Jackson,9.1,6.1,1.4,1.5,0.8,0.674,0.579,0.0,1.3,8,19.3,1.4,3.9,7.3,2.8
Myles Turner,9.1,4.1,1.4,0.7,0.4,0.42,0.75,1.9,1.6,7,23.9,1.3,1.1,7.3,2.4
Rui Hachimura,9.1,2.9,0.6,0.3,0.4,0.529,0.0,1.4,0.4,7,26.9,0.0,2.4,2.0,2.3
Ja'Kobe Walter,9.1,2.6,1.4,0.4,1.3,0.462,0.889,1.7,0.0,7,19.7,2.3,0.9,0.0,2.4
Pat Spencer,9.0,2.5,3.0,0.1,0.8,0.424,0.857,1.3,1.5,8,21.8,0.8,2.3,15.7,0.9
Ryan Kalkbrenner,9.0,4.8,0.6,1.2,0.2,0.76,0.636,0.0,0.8,5,18.5,1.4,3.8,2.0,1.2
Isaac Okoro,9.0,1.0,1.0,0.0,0.0,0.4,0.75,2.0,0.0,1,23.7,3.0,0.0,0.0,6.0
Ronald Holland II,8.9,3.3,0.6,0.2,0.8,0.5,0.87,0.2,1.3,9,19.9,2.2,3.0,3.5,2.8
Neemias Queta,8.9,8.0,2.1,0.9,0.6,0.595,0.857,0.0,0.9,7,27.4,1.7,3.6,8.0,3.1
